symbol,systematic_name,nutrient,rate,expression,bp,mf
LEU9,YOR108W,Leucine,0.05,0.44,leucine biosynthesis,2-isopropylmalate synthase activity
LEU1,YGL009C,Leucine,0.05,3.84,leucine biosynthesis,3-isopropylmalate dehydratase activity
LEU2,YCL018W,Leucine,0.05,1.54,leucine biosynthesis,3-isopropylmalate dehydrogenase activity
LEU4,YNL104C,Leucine,0.05,1.94,leucine biosynthesis,2-isopropylmalate synthase activity
LEU9,YOR108W,Leucine,0.1,0.57,leucine biosynthesis,2-isopropylmalate synthase activity
LEU1,YGL009C,Leucine,0.1,3.36,leucine biosynthesis,3-isopropylmalate dehydratase activity
LEU2,YCL018W,Leucine,0.1,1.23,leucine biosynthesis,3-isopropylmalate dehydrogenase activity
LEU4,YNL104C,Leucine,0.1,1.71,leucine biosynthesis,2-isopropylmalate synthase activity
LEU9,YOR108W,Leucine,0.15,0.46,leucine biosynthesis,2-isopropylmalate synthase activity
LEU1,YGL009C,Leucine,0.15,3.24,leucine biosynthesis,3-isopropylmalate dehydratase activity
LEU2,YCL018W,Leucine,0.15,0.69,leucine biosynthesis,3-isopropylmalate dehydrogenase activity
LEU4,YNL104C,Leucine,0.15,1.06,leucine biosynthesis,2-isopropylmalate synthase activity
LEU9,YOR108W,Leucine,0.2,0.46,leucine biosynthesis,2-isopropylmalate synthase activity
LEU1,YGL009C,Leucine,0.2,2.84,leucine biosynthesis,3-isopropylmalate dehydratase activity
LEU2,YCL018W,Leucine,0.2,0.39,leucine biosynthesis,3-isopropylmalate dehydrogenase activity
LEU4,YNL104C,Leucine,0.2,0.85,leucine biosynthesis,2-isopropylmalate synthase activity
LEU9,YOR108W,Leucine,0.25,0.36,leucine biosynthesis,2-isopropylmalate synthase activity
LEU1,YGL009C,Leucine,0.25,2.04,leucine biosynthesis,3-isopropylmalate dehydratase activity
LEU2,YCL018W,Leucine,0.25,-0.59,leucine biosynthesis,3-isopropylmalate dehydrogenase activity
LEU4,YNL104C,Leucine,0.25,0.17,leucine biosynthesis,2-isopropylmalate synthase activity
LEU9,YOR108W,Leucine,0.3,0.06,leucine biosynthesis,2-isopropylmalate synthase activity
LEU1,YGL009C,Leucine,0.3,0.87,leucine biosynthesis,3-isopropylmalate dehydratase activity
LEU2,YCL018W,Leucine,0.3,-1.55,leucine biosynthesis,3-isopropylmalate dehydrogenase activity
LEU4,YNL104C,Leucine,0.3,-0.93,leucine biosynthesis,2-isopropylmalate synthase activity
